slug,title,author,isbn,price,inventory,genre,format,description,image_url
"the-handmaid-s-tale-038549081x","The Handmaid's Tale","Margaret Atwood","038549081X","7.99","50","Genre Fiction","Hardcover","The Handmaid's Tale is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41vgWYsM82L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"sapiens-a-brief-history-of-humankind-9780062316097","Sapiens: A Brief History of Humankind","Yuval Noah Harari","9780062316097","28.99","50","History","Paperback","Sapiens: A Brief History of Humankind is a highly reviewed Amazon bestselling history title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41+lolL22gL._SY344_BO1,204,203,200_.jpg"
"sapiens-a-brief-history-of-humankind-9780062316110","Sapiens: A Brief History of Humankind","Yuval Harari","9780062316110","11.20","50","History","Hardcover","Sapiens: A Brief History of Humankind is a highly reviewed Amazon bestselling history title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41lZKXt1+ML._SY344_BO1,204,203,200_.jpg"
"eleanor-oliphant-is-completely-fine-a-novel-0735220689","Eleanor Oliphant Is Completely Fine: A Novel","Gail Honeyman","0735220689","13.53","50","Genre Fiction","Paperback","Eleanor Oliphant Is Completely Fine: A Novel is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/512cLuxc5mL._SY291_BO1,204,203,200_QL40_ML2_.jpg"
"the-room-where-it-happened-a-white-house-memoir-1982148039","The Room Where It Happened: A White House Memoir","John Bolton","1982148039","12.99","50","Politics & Social Sciences","Paperback","The Room Where It Happened: A White House Memoir is a highly reviewed Amazon bestselling politics & social sciences title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41gRbWB7I-L._SY291_BO1,204,203,200_QL40_ML2_.jpg"
"greenlights-0593416953","Greenlights","Matthew McConaughey","0593416953","29.99","50","Biographies & Memoirs","Hardcover","Greenlights is a highly reviewed Amazon bestselling biographies & memoirs title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51FJfI6xHoL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"greenlights-raucous-stories-and-outlaw-wisdom-from-the-academy-award-winning-actor-1472290690","Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor","Matthew McConaughey","1472290690","22.00","50","Arts & Photography","Hardcover","Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor is a highly reviewed Amazon bestselling arts & photography title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/417P-6EL3NL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-sentinel-a-jack-reacher-novel-1984818465","The Sentinel: A Jack Reacher Novel","Lee ChildAndrew Child","1984818465","13.00","50","Action & Adventure","Paperback","The Sentinel: A Jack Reacher Novel is a highly reviewed Amazon bestselling action & adventure title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51ugn9Gi1GL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"when-we-believed-in-mermaids-a-novel-1542004527","When We Believed in Mermaids: A Novel","Barbara O'Neal","1542004527","6.69","50","Genre Fiction","Kindle","When We Believed in Mermaids: A Novel is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41upRgW3ppL._SY291_BO1,204,203,200_QL40_ML2_.jpg"
"the-martian-0553418025","The Martian","Andy Weir","0553418025","10.41","50","Action & Adventure","Hardcover","The Martian is a highly reviewed Amazon bestselling action & adventure title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/4164GkhDBXL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
